Text,Date,Time,Draft,Facebook,Twitter,LinkedIn,Instagram,Pinterest,TikTok,Picture Url 1,Picture Url 2
"Scientific literacy starts with vocabulary.

Research terminology, translated — today's research education note from Lion Elite Wellness.

• In vitro means in glass — cell and tissue studies in the lab.
• In vivo means in a living model, still preclinical.
• Knowing the terms lets you read the research yourself.

Read the product information pages to learn how we document quality.

For laboratory research purposes only. Not for human or veterinary use.",2026-09-21,09:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Scientific literacy starts with vocabulary.

Read the product information pages to learn how we document quality.

For laboratory research purposes only. Not for human or veterinary use.",2026-09-21,09:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"Research terminology, translated

Scientific literacy starts with vocabulary.

— In vitro means in glass — cell and tissue studies in the lab.
— In vivo means in a living model, still preclinical.
— Knowing the terms lets you read the research yourself.

Read the product information pages to learn how we document quality.

For laboratory research purposes only. Not for human or veterinary use.",2026-09-21,09:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
"Scientific literacy starts with vocabulary.

Research terminology, translated — today's research education note from Lion Elite Wellness.

• In vitro means in glass — cell and tissue studies in the lab.
• In vivo means in a living model, still preclinical.
• Knowing the terms lets you read the research yourself.

Read the product information pages to learn how we document quality.

For laboratory research purposes only. Not for human or veterinary use.

#ResearchEducation #PeptideResearch #ScientificLiteracy #LabStandards #LionEliteWellness",2026-09-21,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
"You do not need a perfect week. You need a repeatable one.

Pick your weekly non-negotiables — today's standard from Lion Elite Beauty.

• Choose the training, sleep, and nutrition floors you will not break.
• Consistency at the floor beats intensity at the ceiling.
• Review and raise the floor monthly.

Apply for the coaching program — the link is in our bio.",2026-09-21,10:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"You do not need a perfect week. You need a repeatable one.

Apply for the coaching program — the link is in our bio.",2026-09-21,10:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"Pick your weekly non-negotiables

You do not need a perfect week. You need a repeatable one.

— Choose the training, sleep, and nutrition floors you will not break.
— Consistency at the floor beats intensity at the ceiling.
— Review and raise the floor monthly.

Apply for the coaching program — the link is in our bio.",2026-09-21,10:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
"You do not need a perfect week. You need a repeatable one.

Pick your weekly non-negotiables — today's standard from Lion Elite Beauty.

• Choose the training, sleep, and nutrition floors you will not break.
• Consistency at the floor beats intensity at the ceiling.
• Review and raise the floor monthly.

Apply for the coaching program — the link is in our bio.

#LionEliteBeauty #DisciplineDaily #Biomarkers #WellnessCoaching #HigherStandard",2026-09-21,10:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
"Short chains of amino acids — that is the whole definition.

Interested in partnering? Ask about the Lion Elite Wellness affiliate program.

For laboratory research purposes only. Not for human or veterinary use.

#ResearchEducation #PeptideResearch #ScientificLiteracy #LabStandards #LionEliteWellness",2026-09-21,12:30,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
"HOOK (0-3s, on camera or bold text): Short chains of amino acids — that is the whole definition.

BODY (talking points, one per cut):
1. Peptides are sequences of amino acids, smaller than proteins.
2. They are studied across many fields of laboratory research.
3. Understanding the chemistry keeps the conversation honest.

CTA (final 3s): Interested in partnering? Ask about the Lion Elite Wellness affiliate program.

ON-SCREEN DISCLAIMER (visible full duration): see below.

For laboratory research purposes only. Not for human or veterinary use.",2026-09-21,12:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
